"Work.No","Measurement.date.x","Standing_Water_level..m..x","Easting.x","Longitude.x","Latitude.x","Northing.x","Measurement.date.y","Standing_Water_level..m..y","Easting.y","Longitude.y","Latitude.y","Northing.y","Drilled_De","Salinity","Elevation"
"GW020081","25/05/1982",6.21,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","24/04/1984",4.65,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","24/03/1987",2.73,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","23/07/1984",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","23/07/1982",6.18,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","22/09/1980",6.62,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","21/12/1977",6.4,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","21/06/1989",1.17,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","21/05/1975",7.53,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","26/05/1990",2.57,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","14/08/1975",7.47,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","9/01/1984",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","8/11/1978",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","8/08/1974",8.9,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","8/07/1980",6.65,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","7/03/1988",3.35,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","7/01/1976",6.98,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","6/11/1979",6.46,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","6/08/1979",6.33,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","5/10/1978",6.45,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","5/05/1978",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","9/03/1990",2.8,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","4/04/1979",6.41,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","4/05/1989",1.38,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","4/01/1979",6.23,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","3/12/1979",6.54,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","3/08/1990",1.42,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","3/01/1975",8.17,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","2/12/1980",6.72,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","2/08/1985",3.58,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","1/12/1981",6.07,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","1/12/1978",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","1/11/1982",6.28,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","1/09/1982",6.21,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","1/06/1979",6.39,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","4/10/1985",3.41,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/02/1975",7.7,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","4/02/1977",6.4,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","9/04/1975",7.66,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","14/03/1978",6.7,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/10/1981",6.19,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/09/1988",2.92,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/08/1987",2.1,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/08/1981",6.55,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/04/1978",6.73,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","14/04/1980",6.75,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/01/1981",6.75,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","12/07/1978",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","12/04/1983",6.56,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","9/12/1974",7.9,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","9/05/1985",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","13/05/1974",9.9,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","9/06/1975",7.5,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","1/05/1979",6.38,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","10/08/1978",6.63,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","10/10/1989",1.67,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","11/07/1974",9.2,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","11/11/1980",6.68,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","11/12/1989",2.27,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","17/06/1981",6.84,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","12/03/1974",10.2,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","11/08/1983",6.13,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
